P1,0, 1, 16, 574, 4
P2,1, 0, 9, 50, 6
P3,1, 3, 5, 515, 8
P4,1, 0, 11, 65, 2
P5,1, 2, 32, 625, 3s
P6,2, 2, 12, 765, 18
P7,2, 0, 4, 55, 12
P8,2, 0, 4, 7, 8
P9,3, 0, 2, 28, 20
P10,4, 2, 4, 832, 4
P11,5, 0, 3, 28, 2
P12,5, 3, 2, 853, 2
P13,6, 3, 2, 158, 4
P14,6, 1, 2, 1074, 6
P15,8, 1, 4, 78, 8
P16,9, 3, 15, 1017, 24
P17,11, 0, 4, 62, 20
P18,12, 0, 4, 33, 6
P19,14, 2, 2, 759,36
P20,15, 0, 40, 40, 12
P21,16, 3, 3, 100, 4
P22,18, 3, 33, 379,16
P23,22, 2, 8, 457, 8
P24,23, 3, 14, 417, 4
P25,24, 1, 2, 351, 2
